date,t,cp_location,cp_location_norm,cp_score
2010-01-04,21,10.02130256184527,0.5227951161026062,0.670458607904552
2010-01-05,22,19.288279374818323,0.12912955358007985,0.8275571807426068
2010-01-06,23,19.018760154724866,0.18958284977500636,0.7810927307169109
2010-01-07,24,19.02111387572028,0.2370898154418915,0.7222817464908624
2010-01-08,25,15.967852377525602,0.4301022677368761,0.708914465159735
2010-01-11,26,19.01359628097122,0.3326858913823228,0.6904521961356236
2010-01-12,27,19.020859175183837,0.37995908689600777,0.7436706599462815
2010-01-13,28,19.04091919481363,0.42662289548506527,0.7237497378811144
2010-01-14,29,19.02808131411487,0.4748532707564347,0.6667413797518214
2010-01-15,30,19.012067362394802,0.5232348875050095,0.7384910535278754
2010-01-19,31,19.02884461258055,0.5700550184485452,0.7570996611276781
2010-01-20,32,29.00019041422345,0.14284807551316905,0.7670897550072511
2010-01-21,33,29.805696320388453,0.1521096990291213,0.9520863775121529
2010-01-22,34,31.99996857880651,0.09523959148540431,0.9931609357329093
2010-01-25,35,29.238095522741006,0.27437640367899974,0.9602936742202022
2010-01-26,36,29.99283437332845,0.2860555060319786,0.9175596756615367
2010-01-27,37,29.4373874148642,0.36012440881599045,0.881524385536739
2010-01-28,38,29.95039308444706,0.3833146150263304,0.8014817283403022
2010-01-29,39,30.58349416318559,0.40078599222925754,0.7375878958860079
2010-02-01,40,29.425078046975628,0.5035677120487796,0.7856397716565109
2010-02-02,41,26.535149425846967,0.6888024082930015,0.7861561753673468
2010-02-03,42,26.322383530829505,0.746553165198595,0.8294471756442512
2010-02-04,43,26.00302290170101,0.8093798618237615,0.9986125168522552
2010-02-05,44,27.436769722447284,0.7887252513120341,0.9720352412489414
2010-02-08,45,39.04160254182411,0.28373321229408993,0.7245398517446572
2010-02-09,46,39.011335572109225,0.332793544185275,0.715894364326332
2010-02-10,47,39.01565218136236,0.38020703898274466,0.6560773842821856
2010-02-11,48,39.014055180785036,0.4279021342483316,0.6184931119587371
2010-02-12,49,36.55395015145524,0.5926690404068934,0.6256212004017374
2010-02-16,50,36.69416221843388,0.63361132293172,0.6328666498021926
2010-02-17,51,36.290074316809125,0.7004726515805179,0.6318874738663192
2010-02-18,52,34.35616697911602,0.8401825248039991,0.7954802658232896
2010-02-19,53,34.13349389006462,0.8984050528540657,0.9285551075317531
2010-02-22,54,45.85634807389963,0.3877929488619223,0.9395445342824902
2010-02-23,55,50.98256711672269,0.19130632777510992,0.7932736956967334
2010-02-24,56,43.99322980703479,0.571750961569772,0.8601066729786284
2010-02-25,57,51.33038042143174,0.26998188469372664,0.8251207299016862
2010-02-26,58,46.91276876792406,0.5279633920036163,0.9102266041649931
2010-03-01,59,45.543339459673014,0.6407933590631898,0.9285046095183871
2010-03-02,60,45.469418614291975,0.6919324469384774,0.9635976169363899
2010-03-03,61,45.31070396657258,0.7471093349251151,0.9810323145605958
2010-03-04,62,50.433457118659966,0.5507877562542873,0.9896369743057867
2010-03-05,63,43.990776058680424,0.9052011400628369,0.9911264843945441
2010-03-08,64,43.000760721042234,0.999963775188465,0.9972500116524899
2010-03-09,65,50.709500355048206,0.6804999830929426,0.6228543390899166
2010-03-10,66,56.04748292957741,0.4739293843058375,0.8098819698096379
2010-03-11,67,64.6289261921751,0.11290827656309045,0.9963465353215782
2010-03-12,68,63.97585473863397,0.19162596482695382,0.9572024358296503
2010-03-15,69,63.970907476107996,0.2394805963758097,0.95609553620463
2010-03-16,70,63.939776205787496,0.2885820854386907,0.9358960339684114
2010-03-17,71,55.999139155685704,0.7143267068721093,0.905750461891861
2010-03-18,72,56.102760499860324,0.757011404768556,0.767335923058305
2010-03-19,73,56.11799670129361,0.8039049189860185,0.6552967239237121
2010-03-22,74,63.96930782108979,0.4776520085195337,0.737804847149709
2010-03-23,75,63.98085588157587,0.5247211484963872,0.7697199871799429
2010-03-24,76,63.987048042746196,0.5720453312978002,0.7681326987967916
2010-03-25,77,68.10444183609927,0.4235980078047967,0.7410874090584896
2010-03-26,78,67.76415673920249,0.48742110765702423,0.7140315762975706
2010-03-29,79,67.57848954764535,0.5438814501121263,0.7154164405534769
2010-03-30,80,66.90895681330343,0.6233830088903127,0.7111105861509179
2010-03-31,81,67.46875483698673,0.6443450077625366,0.690427841943199
2010-04-01,82,66.89859577403207,0.7191144869508536,0.6996377901075085
2010-04-05,83,66.28322686600397,0.7960368159045728,0.7194480750320777
2010-04-06,84,77.08623088361449,0.32922710078026235,0.6180911547694599
2010-04-07,85,80.02130581293966,0.23708067557430196,0.6294760785679436
2010-04-08,86,80.00944912989199,0.28526432714800043,0.5841538059743568
2010-04-09,87,77.87129710612436,0.43470013780360195,0.5816813178921187
2010-04-12,88,77.69891733099664,0.4905277461430173,0.5943534656912736
2010-04-13,89,77.0028724348397,0.571291788817157,0.6277590382693026
2010-04-14,90,78.3726679434932,0.5536824788812763,0.610040139028017
2010-04-15,91,77.5683816744743,0.6396008726440812,0.6796586479957173
2010-04-16,92,89.58256217911725,0.11511608670870255,0.9484460483282566
2010-04-19,93,89.02571500231745,0.18925166655631168,0.9128920026114888
2010-04-20,94,89.02705298248657,0.23680700083397305,0.8967862731815488
2010-04-21,95,89.02072901292236,0.28472718986084,0.937708689366834
2010-04-22,96,89.00938991755177,0.33288619440229655,0.9010962908397946
2010-04-23,97,89.02389490153496,0.3798145284983353,0.8906584055322254
2010-04-26,98,89.02306914013784,0.4274728980886745,0.9056268524080785
2010-04-27,99,89.09519383272084,0.47165743653710296,0.9838275110678701
